name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
"Coding conventions, code formatting and linting","Understanding and applying coding standards, using code formatting tools and linters to ensure code quality consistency and readability.",coding-conventions-code-formatting-and-linting,software-engineering,black|eslint|jslint|linters|lintr|ruff|static-program-analysis|styler,building-better-research-software|code-styling-and-linting-the-turing-way,,380
Compiling code,"Understanding how compilers translate high-level languages into machine code, including concepts like lexical analysis, parsing and code optimisation.",compiling-code,software-engineering,bison|compilers|lex|yacc,,,310
Computer modelling and simulation,Ability to develop and use computational models to represent real-world systems and simulate their behaviour under different conditions.,computer-modelling-and-simulation,software-engineering,,,numerical-analysis,360
Containerisation,"Ability to package, deploy and manage applications using containers, enabling consistent and reliable execution across diverse environments.",containerisation,software-engineering,apptainer|argo|argo-cd|docker|kubernetes|singularity,reproducible-computational-environment-with-docker,virtualisation-and-container-infrastructure,510
Deploying code,"Ability to take packaged software and make it available in target environments, including provisioning infrastructure, configuring services, rolling out updates, managing rollbacks and ensuring minimal downtime.",deploying-code,software-engineering,ansible|aws-codepipeline|azure-devops|bitbucket-pipelines|github-actions|gitlab-cicd|jenkins|travis-ci,continuous-integration-the-turing-way,,500
Documenting software,"Ability to create clear, concise and comprehensive technical documentation that communicates the design, functionality and usage of a software product.",documenting-software,software-engineering,cffinit|citation-cff|code-of-conduct|contribution-guidelines|docstrings|javadoc|jsdoc|markdown|mkdocs|quarto|r-markdown|read-the-docs|readme|sphynx,datasheets-for-datasets|ditaxis|model-cards-for-model-reporting|ols-lesson|project-documentation-the-turing-way,information-synthesis-and-concise-written-communication|technical-writing,470
Generative AI,Ability to leverage AI tools to augment and enhance traditional software development processes.,generative-ai,software-engineering,aws-sagemaker|azure-ai|chatgpt|diffusers|generative-adversarial-network-gan|github-copilot|google-cloud-for-ai|google-gemini|gradio|hugging-face-transformers|langchain|microsoft-copilot|openai|prompt-engineering|pytorch|pytorch-gan|streamlit|tensorflow-gan,gan-implementation-in-pytorch,,330
Good software practices,"Understanding of and expertise in developing and maintaining software that adheres to the ""good"" software practices and knowledge of tools that test for them.",good-software-practices,software-engineering,citation-cff|codecheck|codemeta|fair-software|fairsoft|software-quality-practices,an-r-reproducibility-toolkit-for-the-practical-researcher|rsqkit,metadata-standards,460
Green computing,"Understanding of environmentally sustainable computing - environmental consequences of software development and deployment, including energy consumption, resource usage and the overall carbon footprint of the software lifecycle.",green-computing,software-engineering,,digital-humanities-climate-coalition-toolkit|green-software-foundation|green500,profiling-and-optimising-code,530
Intellectual Property (IP) and software licensing,"Understanding Intellectual Property (IP) -  who owns or controls creative work (including software) - and software licensing as the legal mechanism that grants others the right to use, modify or distribute software.",intellectual-property-ip-and-software-licensing,software-engineering,free-and-open-source-licences,choose-an-open-source-license|licensing-the-turing-way|ols-lesson|tldrlegal,legal-and-regulatory-responsibility,480
